title,price_gbp,rating
"1,000 Places to See Before You Die",26.08,5
A Time of Torment (Charlie Parker #14),48.35,5
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,5
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5
A Flight of Arrows (The Pathfinders #2),55.53,5
Mrs. Houdini,30.25,5
The Passion of Dolssa,28.32,5
Voyager (Outlander #3),21.07,5
The Red Tent,35.66,5
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5
