title,price_gbp
"Love, Lies and Spies",20.55
Delivering the Truth (Quaker Midwife Mystery #1),20.89
Voyager (Outlander #3),21.07
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37
"1,000 Places to See Before You Die",26.08
Girl With a Pearl Earring,26.77
Poisonous (Max Revere Novels #3),26.8
The Widow,27.26
The Marriage of Opposites,28.08
The Passion of Dolssa,28.32
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69
Mrs. Houdini,30.25
The Great Railway Bazaar,30.54
World Without End (The Pillars of the Earth #2),32.97
Most Wanted,35.28
The Red Tent,35.66
"Codename Baboushka, Volume 1: The Conclave of Death",36.72
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94
The House by the Lake,36.95
Under the Tuscan Sun,37.33
The Invention of Wings,37.34
The Nameless City (The Nameless City #1),38.16
Neither Here nor There: Travels in Europe,38.95
A Paris Apartment,39.01
