title,rating
"1,000 Places to See Before You Die",5
A Time of Torment (Charlie Parker #14),5
What Happened on Beale Street (Secrets of the South Mysteries #2),5
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),5
A Flight of Arrows (The Pathfinders #2),5
Mrs. Houdini,5
The Passion of Dolssa,5
Voyager (Outlander #3),5
The Red Tent,5
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),5
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",5
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,4
A Year in Provence (Provence #1),4
Sharp Objects,4
The Past Never Ends,4
The Murder of Roger Ackroyd (Hercule Poirot #4),4
Murder at the 42nd Street Library (Raymond Ambler #1),4
Delivering the Truth (Quaker Midwife Mystery #1),4
The Marriage of Opposites,4
A Paris Apartment,4
World Without End (The Pillars of the Earth #2),4
This One Summer,4
The Nameless City (The Nameless City #1),4
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",4
Danganronpa Volume 1,4
"Codename Baboushka, Volume 1: The Conclave of Death",4
Camp Midnight,4
