title,price_gbp,price_inr,rating,in_stock,category_name
A Flight of Arrows (The Pathfinders #2),55.53,5858.42,5,1,Historical Fiction
A Paris Apartment,39.01,4115.55,4,1,Historical Fiction
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3132.3,3,1,Historical Fiction
Girl With a Pearl Earring,26.77,2824.24,1,1,Historical Fiction
Girl in the Blue Coat,46.83,4940.56,2,1,Historical Fiction
Glory over Everything: Beyond The Kitchen House,45.84,4836.12,3,1,Historical Fiction
Lilac Girls,17.28,1823.04,2,1,Historical Fiction
"Love, Lies and Spies",20.55,2168.02,2,1,Historical Fiction
Mrs. Houdini,30.25,3191.38,5,1,Historical Fiction
The Constant Princess (The Tudor Court #1),16.62,1753.41,3,1,Historical Fiction
The Guernsey Literary and Potato Peel Pie Society,49.53,5225.42,1,1,Historical Fiction
The House by the Lake,36.95,3898.23,1,1,Historical Fiction
The Invention of Wings,37.34,3939.37,1,1,Historical Fiction
The Last Painting of Sara de Vos,55.55,5860.52,2,1,Historical Fiction
The Marriage of Opposites,28.08,2962.44,4,1,Historical Fiction
The Passion of Dolssa,28.32,2987.76,5,1,Historical Fiction
The Red Tent,35.66,3762.13,5,1,Historical Fiction
Tipping the Velvet,53.74,5669.57,1,1,Historical Fiction
Voyager (Outlander #3),21.07,2222.89,5,1,Historical Fiction
World Without End (The Pillars of the Earth #2),32.97,3478.34,4,1,Historical Fiction
A Murder in Time,16.64,1755.52,1,1,Mystery
A Study in Scarlet (Sherlock Holmes #1),16.73,1765.02,2,1,Mystery
A Time of Torment (Charlie Parker #14),48.35,5100.92,5,1,Mystery
Boar Island (Anna Pigeon #19),59.48,6275.14,3,1,Mystery
Delivering the Truth (Quaker Midwife Mystery #1),20.89,2203.9,4,1,Mystery
Hide Away (Eve Duncan #20),11.84,1249.12,1,1,Mystery
"In a Dark, Dark Wood",19.63,2070.96,1,1,Mystery
Most Wanted,35.28,3722.04,3,1,Mystery
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,5734.98,4,1,Mystery
Playing with Fire,13.71,1446.41,3,1,Mystery
Poisonous (Max Revere Novels #3),26.8,2827.4,3,1,Mystery
Sharp Objects,47.82,5045.01,4,1,Mystery
Tastes Like Fear (DI Marnie Rome #3),10.69,1127.79,1,1,Mystery
That Darkness (Gardiner and Renner #1),13.92,1468.56,1,1,Mystery
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5517.65,5,1,Mystery
The Last Mile (Amos Decker #2),54.21,5719.16,2,1,Mystery
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4652.55,4,1,Mystery
The Past Never Ends,56.5,5960.75,4,1,Mystery
The Widow,27.26,2875.93,2,1,Mystery
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,2676.54,5,1,Mystery
Camp Midnight,17.08,1801.94,4,1,Sequential Art
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,3873.96,4,1,Sequential Art
Danganronpa Volume 1,51.99,5484.95,4,1,Sequential Art
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,2332.6,2,1,Sequential Art
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,3077.44,2,1,Sequential Art
I am a Hero Omnibus Volume 1,54.63,5763.46,3,1,Sequential Art
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2101.56,2,1,Sequential Art
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,4811.85,3,1,Sequential Art
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,4949.0,2,1,Sequential Art
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,1628.92,4,1,Sequential Art
Patience,10.16,1071.88,3,1,Sequential Art
"Pop Gun War, Volume 1: Gift",18.97,2001.33,1,1,Sequential Art
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,1435.86,5,1,Sequential Art
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,5317.2,3,1,Sequential Art
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,5384.72,2,1,Sequential Art
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5516.6,5,1,Sequential Art
The Nameless City (The Nameless City #1),38.16,4025.88,4,1,Sequential Art
This One Summer,19.49,2056.19,4,1,Sequential Art
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1717.54,1,1,Sequential Art
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,5107.25,1,1,Sequential Art
"1,000 Places to See Before You Die",26.08,2751.44,5,1,Travel
A Summer In Europe,44.34,4677.87,2,1,Travel
A Year in Provence (Provence #1),56.88,6000.84,4,1,Travel
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,5214.86,4,1,Travel
It's Only the Himalayas,45.17,4765.44,2,1,Travel
Neither Here nor There: Travels in Europe,38.95,4109.23,3,1,Travel
See America: A Celebration of Our National Parks & Treasured Sites,48.87,5155.78,3,1,Travel
The Great Railway Bazaar,30.54,3221.97,1,1,Travel
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,2448.66,1,1,Travel
Under the Tuscan Sun,37.33,3938.31,3,1,Travel
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,3897.17,2,1,Travel
